id,scientificName,species,genus,family,phylum,class,eventDate,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,country,locality,marine,basisOfRecord
001d2e78-2a80-4eee-a8b9-e0c352cdf35f,Monodactylus argenteus,Monodactylus argenteus,Monodactylus,Monodactylidae,Chordata,Teleostei,1970-06-10T08:42:00Z,7.91333293915,81.5666656494,2.5,2.0,3.0,Sri Lanka,Ceylon: Batticaloa District; Korali Pattu; Kalkudah Bay (Rock Outcrop 100 Ft Offshore of Lone Rock On Beach ca 200 Yds South of Rest House).,True,PreservedSpecimen
001f13f9-f339-41b3-bdcb-936a3cfc3fa4,Aethaloperca rogaa,Aethaloperca rogaa,Aethaloperca,Epinephelidae,Chordata,Teleostei,2007/2008,8.6626,78.3192,43.0,43.0,43.0,,Tirespuram,True,HumanObservation
001fa61e-b254-418e-995f-60adb66685e1,Chlorurus strongylocephalus,Chlorurus strongylocephalus,Chlorurus,Scaridae,Chordata,Teleostei,2023-08-07T15:36:00+05:00,5.3599612,72.9195016,,,,,,True,HumanObservation
0020129f-089c-4768-9d88-ed56aac1e121,Pterois miles,Pterois miles,Pterois,Scorpaenidae,Chordata,Teleostei,2022-10-30T06:52:00+05:00,3.488889,73.698889,,,,,,True,HumanObservation
00216fe5-b188-401b-af51-d4c96477064c,Torquigener hypselogeneion,Torquigener hypselogeneion,Torquigener,Tetraodontidae,Chordata,Teleostei,,11.0,72.5,,,,,Lakshadweep Islands,True,HumanObservation
00224611-fa20-44aa-b8d6-c4b40a61b914,Vinciguerria,,Vinciguerria,Phosichthyidae,Chordata,Teleostei,,14.3667,85.3333,,,,,,True,PreservedSpecimen
0023c895-77d8-4980-a2f6-498993b20640,Ferdauia ferdau,Ferdauia ferdau,Ferdauia,Carangidae,Chordata,Teleostei,1969-10-18,7.728449,81.685487,,,,Sri Lanka,"Batticaloa (from St. John's fish market, Colombo).",True,PreservedSpecimen
00245992-44e2-4fcb-9db4-e9236e0dddda,Parapercis hexophtalma,Parapercis hexophtalma,Parapercis,Pinguipedidae,Chordata,Teleostei,2021-08-11T14:29:35-10:00,5.1507400993,73.1326902285,,,,,,True,HumanObservation
00254b6a-9ffa-477b-9c59-11914e702de7,Plectorhinchus centurio,Plectorhinchus centurio,Plectorhinchus,Haemulidae,Chordata,Teleostei,2023-05-29,17.5603331291,83.4039980918,,,,,,True,HumanObservation
002569da-b5aa-4bb0-b323-c7bcc6cfbc9b,Aprion virescens,Aprion virescens,Aprion,Lutjanidae,Chordata,Teleostei,2011-12-13T12:02:00+05:00,2.0313645996,73.520507977,,,,,,True,HumanObservation
0028fbb0-12d5-4436-9131-b06f8788f212,Chaetodon triangulum,Chaetodon triangulum,Chaetodon,Chaetodontidae,Chordata,Teleostei,2025-02-26T15:56:00+05:00,5.48972108,72.938845156,,,,,,True,HumanObservation
